,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
highway,0.47091758609083745,0.9360825713360837,-0.7864285292488976,0.25005420096955056,0.3721764554995127,0.8500296863740398,0.3712890837220466,0.22323475673999338,-0.34528201876743786,-0.0005204520598387624,-0.43739669629407396,-0.2946226848949499,-0.2455924747219537,0.19648425977849202,-0.18875730763316623,0.3851122258723495,-0.08022925306790149,0.07952925696323326,0.3831157131805756,0.06397503039571328
bus_station,-0.7685738115476487,-0.0013331220567991216,0.012789197712951145,-0.012361489366254301,0.003254758161576161,0.008285186162353173,-0.03169412384034213,0.0691934082444809,0.019735827127966638,0.008172077832380449,0.02727630031873717,-0.009251715711612372,0.01172200708776975,-0.023988451926756804,-0.012934079749433235,-0.006910384152046907,-0.001898331645671661,-0.015829306333084724,0.02637368567153035,0.04690493750187385
veterinarian.n.01,-0.7685738115476487,-0.0013331220567991211,0.012789197712951597,-0.012361489366254301,0.003254758161577522,0.008285186162353544,-0.03169412384034178,0.06919340824448221,0.019735827127967648,0.008172077832380779,0.02727630031873622,-0.00925171571161145,0.011722007087769942,-0.02398845192675655,-0.012934079749432534,-0.00691038415204649,-0.0018983316456735438,-0.0158293063330861,0.02637368567153032,0.04690493750187163
market,-0.4811781975097162,-0.05589909542391884,-0.043515500380001425,0.1345329748847678,-0.011991433062695175,0.09165388969438934,0.10061387795357689,-0.2579516325677214,-0.20870634954267925,0.07354172530544383,-0.34404347675733843,0.09977402831102897,0.1286492181830536,0.2315032620788337,-0.08188366175906711,0.04360791735082555,0.018968106158183576,0.34043867000336203,-0.45686400156747053,-0.49374758184172673
wave,-0.4964497664350585,0.26995070384277076,0.02273306349322978,-0.46839012973093325,-0.2019078414700383,0.2254179051905807,-0.1019699157589591,-0.4236601899468633,-0.2082668191836136,0.02392879650679774,-0.1289493569152754,-0.43042888124049067,-0.14531153612590755,-0.10853124211555842,0.14266007358745406,-0.5532417067428521,0.1269254690360935,0.382308921647838,-0.6259376028164252,-0.5668013614971343
museum,0.8104487091678907,-0.15441167084420127,-0.6147120320165192,-0.3308767388325896,0.22473214797618704,-0.9908006668420838,0.4881400137105597,0.19246657111635726,0.3712608660926634,-0.35527588556801626,0.0645343618964902,0.018428323841970632,0.2233837041802956,-0.25516439856369266,0.5897490407681523,0.4227512576602317,-0.035154947661749314,0.38918911291220604,-0.3390912953446581,-0.15254182475262537
coffee_shop,0.6626151851703556,-1.1565487000359227,-0.9408589207996508,0.06271948094921548,-0.7631720836899849,0.5629599530662897,-0.36821943538959195,-0.4351554989770042,-0.5155031398289829,-0.4396247088484722,-0.3305671086572093,-0.12455386878243137,0.3090868052348606,0.2379760837792609,-0.04335921885283742,-0.13932975845022366,0.37788299520555985,-0.23861106993721323,0.07199791114032687,-0.028093591058189503
snowfield,0.798614737465058,1.098590669807732,0.7183159140368642,0.08646759331157104,-0.23554370562840685,0.4745507388752044,-0.15765940744666887,-0.37393964730584067,-1.1283128376448524,-0.25311796495532574,-0.4491994732966867,0.5464326113634097,-0.28026846123850113,-0.5841858862106671,0.6874303478777066,0.04094711798501655,-0.6414226067367046,0.35402806207968124,0.7140263297619149,0.05699753518954314
kitchen.n.01,-0.7685738115476487,-0.0013331220567991216,0.012789197712951552,-0.012361489366254428,0.003254758161577294,0.008285186162353776,-0.03169412384034072,0.06919340824448134,0.01973582712796655,0.008172077832381762,0.027276300318736853,-0.009251715711611604,0.011722007087770306,-0.023988451926757113,-0.012934079749433305,-0.006910384152046629,-0.0018983316456716273,-0.015829306333084183,0.02637368567153035,0.046904937501874036
runway,0.6644514285292906,0.8260281841726616,-0.21819661870997684,-0.6897006521306557,0.5928253569492532,1.0575337488936154,0.9824703055149484,-0.7662036058921572,-0.48520582120146766,-0.6847832683640862,-0.04440815741643955,-0.016822110099922138,0.5456618157434583,0.6145654949728645,-1.032418124998359,0.7224100557015629,-0.34509485760337477,-0.2571264871907719,0.41776829538311416,0.2464295682967244
dressing_room,0.27472822179252515,-0.4617946384856713,0.5302149894655842,-0.09619692443595282,0.07661659957537431,-0.09879772330002547,0.06530093751035236,-0.6938069608445988,-0.4097632470361022,1.1909445175292035,0.013800165530225058,0.001787614522790134,-0.38022301837414146,0.24739188665068634,-0.04086711972562403,-0.16649541714274424,-0.6202543951821688,0.6150439446984868,0.2716934359922628,-0.8692983927108436
playground,0.8833357737006013,0.050757871058377,0.15904784558705623,-0.04771020344837388,0.6174275512108911,-0.10635188754674171,-0.75365695997753,0.03635136732068856,0.6640177969867318,-0.8671092287131282,0.11140183271802821,-0.20279770884175047,-0.6447356866884166,0.4562087371615328,-0.43743764799561297,-0.15920834806970663,-0.3043342178965097,0.3488786246424552,0.3515936206907679,-0.0750104271862034
bakery,0.5257514616980067,-1.14805343017939,-1.280820218919885,0.7136786314802646,-0.7348086075345267,0.18812158371952561,0.25785125984251417,0.11179477531776437,-0.01989840987412269,-0.3616966075390634,-0.30850332682639986,0.44392544466630307,0.38760135552850067,-0.26095183972899727,-0.05569706785359306,-0.31628181769038605,-0.2582764499729991,-0.21358526563148675,-0.19801836110043117,-0.5232264119566868
living_room,0.7638809669567361,-0.5020206760166779,1.092828389403341,0.2962218095721095,-0.23738198782447156,0.2355980329396806,-0.19441576355167406,0.15760532676430644,-0.05531418613719251,0.0759184642955382,0.2537141888291626,-0.09561795878222741,0.030407304042530846,0.05461234381417956,-0.33436585532018703,0.3403571913968854,0.0024601156419454943,0.15989678258987108,0.1384305654544462,-0.16524596340973452
